error_id;difficulty;generati;non_generati
SYN_4_UNDEFINED_COLUMN;EASY;9;1
SYN_4_UNDEFINED_COLUMN;MEDIUM;10;0
SYN_4_UNDEFINED_COLUMN;HARD;10;0
