error_id;difficulty;generati;non_generati
LOG_70_EXTRANEOUS_COLUMN_IN_SELECT;EASY;9;1
LOG_70_EXTRANEOUS_COLUMN_IN_SELECT;MEDIUM;10;0
LOG_70_EXTRANEOUS_COLUMN_IN_SELECT;HARD;9;1
