error_id;difficulty;generati;non_generati
LOG_71_MISSING_COLUMN_FROM_SELECT;EASY;9;1
LOG_71_MISSING_COLUMN_FROM_SELECT;MEDIUM;9;1
LOG_71_MISSING_COLUMN_FROM_SELECT;HARD;8;2
