error_id;difficulty;generati;non_generati
LOG_59_JOIN_WHEN_JOIN_NEEDS_TO_BE_OMITTED;EASY;7;3
LOG_59_JOIN_WHEN_JOIN_NEEDS_TO_BE_OMITTED;MEDIUM;6;4
LOG_59_JOIN_WHEN_JOIN_NEEDS_TO_BE_OMITTED;HARD;10;0
