error_id;difficulty;generati;non_generati
LOG_58_JOIN_ON_INCORRECT_TABLE;EASY;9;1
LOG_58_JOIN_ON_INCORRECT_TABLE;MEDIUM;4;6
LOG_58_JOIN_ON_INCORRECT_TABLE;HARD;9;1
