error_id;difficulty;generati;non_generati
SYN_2_AMBIGUOUS_COLUMN;EASY;10;0
SYN_2_AMBIGUOUS_COLUMN;MEDIUM;10;0
SYN_2_AMBIGUOUS_COLUMN;HARD;8;2
