error_id;difficulty;generati;non_generati
LOG_73_MISSING_AS_FROM_SELECT;EASY;10;0
LOG_73_MISSING_AS_FROM_SELECT;MEDIUM;4;6
LOG_73_MISSING_AS_FROM_SELECT;HARD;3;7
