error_id;difficulty;generati;non_generati
SYN_15_AGGREGATE_FUNCTIONS_CANNOT_BE_NESTED;EASY;5;5
SYN_15_AGGREGATE_FUNCTIONS_CANNOT_BE_NESTED;MEDIUM;5;5
SYN_15_AGGREGATE_FUNCTIONS_CANNOT_BE_NESTED;HARD;9;1
