error_id;difficulty;generati;non_generati
SYN_21_COMPARISON_WITH_NULL;EASY;6;4
SYN_21_COMPARISON_WITH_NULL;MEDIUM;9;1
SYN_21_COMPARISON_WITH_NULL;HARD;8;2
