error_id;difficulty;generati;non_generati
LOG_72_MISSING_DISTINCT_FROM_SELECT;EASY;1;9
LOG_72_MISSING_DISTINCT_FROM_SELECT;MEDIUM;0;10
LOG_72_MISSING_DISTINCT_FROM_SELECT;HARD;3;7
